datetime,光電業,其他,化學工業,半導體,居家生活,建材營造,數位雲端,文化創意業,材料,汽車工業,油電燃氣業,生技醫療,綠能環保,航運業,觀光餐旅,資訊服務業,通信網路業,金融業,鋼鐵工業,電子商務,電子通路業,電子零組件,電機機械,電腦及週邊,食品工業
2013-05-15,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-16,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-17,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-20,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-21,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-22,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-23,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-24,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-27,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-28,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-29,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-30,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-05-31,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-06-03,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-06-04,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
2013-06-05,4,2,2,0,2,2,5,0,2,0,0,2,0,0,2,1,0,0,2,3,2,0,2,2,0
